Consumer Price Index item,Year,Percent change
All food,2007,4
All food,2008,5.5
All food,2009,1.8
All food,2010,0.8
All food,2011,3.7
All food,2012,2.6
All food,2013,1.4
All food,2014,2.4
All food,2015,1.9
All food,2016,0.3
All food,2017,0.9
All food,2018,1.4
All food,2019,1.9
All food,2020,3.4
All food,2021,3.9
Food away from home,2007,3.6
Food away from home,2008,4.4
Food away from home,2009,3.5
Food away from home,2010,1.3
Food away from home,2011,2.3
Food away from home,2012,2.8
Food away from home,2013,2.1
Food away from home,2014,2.4
Food away from home,2015,2.9
Food away from home,2016,2.6
Food away from home,2017,2.3
Food away from home,2018,2.6
Food away from home,2019,3.1
Food away from home,2020,3.4
Food away from home,2021,4.5
Food at home,2007,4.2
Food at home,2008,6.4
Food at home,2009,0.5
Food at home,2010,0.3
Food at home,2011,4.8
Food at home,2012,2.5
Food at home,2013,0.9
Food at home,2014,2.4
Food at home,2015,1.2
Food at home,2016,-1.3
Food at home,2017,-0.2
Food at home,2018,0.4
Food at home,2019,0.9
Food at home,2020,3.5
Food at home,2021,3.5
"Meats, poultry, and fish",2007,3.8
"Meats, poultry, and fish",2008,4.2
"Meats, poultry, and fish",2009,0.5
"Meats, poultry, and fish",2010,1.9
"Meats, poultry, and fish",2011,7.4
"Meats, poultry, and fish",2012,3.6
"Meats, poultry, and fish",2013,2.1
"Meats, poultry, and fish",2014,7.2
"Meats, poultry, and fish",2015,1.9
"Meats, poultry, and fish",2016,-3.5
"Meats, poultry, and fish",2017,-0.1
"Meats, poultry, and fish",2018,0.7
"Meats, poultry, and fish",2019,1
"Meats, poultry, and fish",2020,6.3
"Meats, poultry, and fish",2021,6.8
Meats,2007,3.3
Meats,2008,3.5
Meats,2009,-0.6
Meats,2010,2.8
Meats,2011,8.8
Meats,2012,3.4
Meats,2013,1.2
Meats,2014,9.2
Meats,2015,3
Meats,2016,-4.4
Meats,2017,-0.6
Meats,2018,0.4
Meats,2019,1.3
Meats,2020,7.4
Meats,2021,7.7
Beef and veal,2007,4.4
Beef and veal,2008,4.5
Beef and veal,2009,-1
Beef and veal,2010,2.9
Beef and veal,2011,10.2
Beef and veal,2012,6.4
Beef and veal,2013,2
Beef and veal,2014,12.1
Beef and veal,2015,7.2
Beef and veal,2016,-6.3
Beef and veal,2017,-1.2
Beef and veal,2018,1.4
Beef and veal,2019,1.6
Beef and veal,2020,9.6
Beef and veal,2021,9.3
Pork,2007,2
Pork,2008,2.3
Pork,2009,-2
Pork,2010,4.7
Pork,2011,8.5
Pork,2012,0.3
Pork,2013,0.9
Pork,2014,9.1
Pork,2015,-3.9
Pork,2016,-4.1
Pork,2017,0.6
Pork,2018,-0.4
Pork,2019,1.2
Pork,2020,6.3
Pork,2021,8.6
Other meats,2007,2.3
Other meats,2008,3.1
Other meats,2009,2.3
Other meats,2010,-0.1
Other meats,2011,6.4
Other meats,2012,1.7
Other meats,2013,-0.1
Other meats,2014,3.9
Other meats,2015,4.1
Other meats,2016,-0.9
Other meats,2017,-0.9
Other meats,2018,-0.4
Other meats,2019,0.9
Other meats,2020,4.4
Other meats,2021,2.9
Poultry,2007,5.1
Poultry,2008,5
Poultry,2009,1.7
Poultry,2010,-0.1
Poultry,2011,2.9
Poultry,2012,5.5
Poultry,2013,4.7
Poultry,2014,2
Poultry,2015,0.4
Poultry,2016,-2.7
Poultry,2017,0.2
Poultry,2018,0.3
Poultry,2019,-0.3
Poultry,2020,5.6
Poultry,2021,5.1
Fish and seafood,2007,4.6
