FIPS,State,County,EmploymentStatus,Year,UnemploymentRate,Employed,TotalLaborForce,Unemployed
0,US,United States,,2007,4.6,145156133,152191050,7034917
0,US,United States,,2008,5.8,144860349,153761037,8900688
0,US,United States,,2009,9.3,139594699,153825454,14230755
0,US,United States,,2010,9.6,139393814,154254521,14860707
0,US,United States,,2011,9,140688861,154520678,13831817
0,US,United States,,2012,8.1,142527201,155038121,12510920
0,US,United States,,2013,7.4,143905037,155362278,11457241
0,US,United States,,2014,6.2,146318952,155936159,9617207
0,US,United States,,2015,5.3,148554918,156840649,8285731
0,US,United States,,2016,4.9,150949349,158674951,7725602
0,US,United States,,2017,4.4,153744181,160744592,7000411
0,US,United States,,2018,3.9,155727518,162039458,6311940
0,US,United States,,2019,3.7,157805900,163815890,6009990
0,US,United States,,2020,8.1,148183367,161207103,13023736
0,US,United States,,2021,5.4,153099687,161758337,8658650
1000,AL,Alabama,,2007,4.1,2092030,2180448,88418
1000,AL,Alabama,,2008,5.8,2049579,2176854,127275
1000,AL,Alabama,,2009,10.1,1938784,2156593,217809
1000,AL,Alabama,,2010,10.4,1968824,2197028,228204
1000,AL,Alabama,,2011,9.6,1991379,2202337,210958
1000,AL,Alabama,,2012,8.2,2000848,2178508,177660
1000,AL,Alabama,,2013,7.3,2012828,2172102,159274
1000,AL,Alabama,,2014,6.7,2018705,2164715,146010
1000,AL,Alabama,,2015,6.1,2020443,2152295,131852
1000,AL,Alabama,,2016,5.9,2029157,2155729,126572
1000,AL,Alabama,,2017,4.5,2103873,2203458,99585
1000,AL,Alabama,,2018,3.9,2153080,2240477,87397
1000,AL,Alabama,,2019,3.2,2199868,2271892,72024
1000,AL,Alabama,,2020,6.5,2121149,2268309,147160
1000,AL,Alabama,,2021,3.4,2169721,2246993,77272
1001,AL,Autauga,,2007,3.4,23610,24434,824
1001,AL,Autauga,,2008,5.3,23376,24687,1311
1001,AL,Autauga,,2009,8.9,22464,24660,2196
1001,AL,Autauga,,2010,8.8,23481,25749,2268
1001,AL,Autauga,,2011,8.3,23688,25845,2157
1001,AL,Autauga,,2012,7.1,23932,25762,1830
1001,AL,Autauga,,2013,6.3,24155,25783,1628
1001,AL,Autauga,,2014,5.8,24150,25639,1489
1001,AL,Autauga,,2015,5.2,24206,25541,1335
1001,AL,Autauga,,2016,5.1,24395,25710,1315
1001,AL,Autauga,,2017,4,25224,26269,1045
1001,AL,Autauga,,2018,3.6,25524,26475,951
1001,AL,Autauga,,2019,2.9,25920,26684,764
1001,AL,Autauga,,2020,5.4,24985,26405,1420
1001,AL,Autauga,,2021,2.8,25599,26341,742
1003,AL,Baldwin,,2007,3.2,80213,82829,2616
1003,AL,Baldwin,,2008,4.8,79222,83205,3983
1003,AL,Baldwin,,2009,8.9,74950,82314,7364
1003,AL,Baldwin,,2010,9.9,75283,83551,8268
1003,AL,Baldwin,,2011,9,77459,85077,7618
1003,AL,Baldwin,,2012,7.7,77973,84507,6534
1003,AL,Baldwin,,2013,6.7,79466,85206,5740
1003,AL,Baldwin,,2014,6.1,81265,86546,5281
1003,AL,Baldwin,,2015,5.6,82619,87493,4874
1003,AL,Baldwin,,2016,5.4,84972,89778,4806
1003,AL,Baldwin,,2017,4.2,89286,93152,3866
1003,AL,Baldwin,,2018,3.6,92769,96252,3483
1003,AL,Baldwin,,2019,2.9,96044,98921,2877
1003,AL,Baldwin,,2020,6.2,92751,98910,6159
1003,AL,Baldwin,,2021,3,96481,99427,2946
1005,AL,Barbour,,2007,6.4,9698,10363,665
1005,AL,Barbour,,2008,9.1,9249,10175,926
1005,AL,Barbour,,2009,13.2,8635,9944,1309
1005,AL,Barbour,,2010,12.1,8978,10219,1241
1005,AL,Barbour,,2011,11.4,8716,9843,1127
1005,AL,Barbour,,2012,11.8,8273,9377,1104
1005,AL,Barbour,,2013,10.4,8152,9096,944
1005,AL,Barbour,,2014,10.5,7930,8859,929
1005,AL,Barbour,,2015,8.9,7823,8590,767
1005,AL,Barbour,,2016,8.4,7638,8334,696
1005,AL,Barbour,,2017,6,7914,8415,501
1005,AL,Barbour,,2018,5.1,8071,8505,434
1005,AL,Barbour,,2019,4,8292,8637,345
1005,AL,Barbour,,2020,7.8,8004,8680,676
1005,AL,Barbour,,2021,5.7,7728,8197,469
1007,AL,Bibb,,2007,4.2,8443,8810,367
1007,AL,Bibb,,2008,6,8225,8751,526
1007,AL,Bibb,,2009,12.2,7637,8696,1059
1007,AL,Bibb,,2010,11.2,7931,8936,1005
1007,AL,Bibb,,2011,10.4,8000,8932,932
1007,AL,Bibb,,2012,8.8,8037,8808,771
1007,AL,Bibb,,2013,8,8000,8699,699
1007,AL,Bibb,,2014,7.2,7959,8573,614
1007,AL,Bibb,,2015,6.7,7983,8552,569
1007,AL,Bibb,,2016,6.5,7986,8539,553
1007,AL,Bibb,,2017,4.5,8261,8648,387
1007,AL,Bibb,,2018,4,8354,8698,344
1007,AL,Bibb,,2019,3.2,8488,8772,284
1007,AL,Bibb,,2020,7.3,8073,8712,639
1007,AL,Bibb,,2021,3.5,8262,8560,298
1009,AL,Blount,,2007,3.2,25816,26683,867
1009,AL,Blount,,2008,4.8,25405,26693,1288
1009,AL,Blount,,2009,9.2,24005,26426,2421
1009,AL,Blount,,2010,9.7,22509,24928,2419
1009,AL,Blount,,2011,8.6,22951,25124,2173
1009,AL,Blount,,2012,7.1,23216,24978,1762
1009,AL,Blount,,2013,6.4,23277,24860,1583
1009,AL,Blount,,2014,6.1,23074,24571,1497
1009,AL,Blount,,2015,5.4,23089,24416,1327
1009,AL,Blount,,2016,5.4,23061,24380,1319
1009,AL,Blount,,2017,4.1,23979,25009,1030
1009,AL,Blount,,2018,3.5,24454,25337,883
1009,AL,Blount,,2019,2.8,24861,25582,721
1009,AL,Blount,,2020,4.6,23973,25116,1143
1009,AL,Blount,,2021,2.4,24529,25127,598
1011,AL,Bullock,,2007,9.6,3313,3666,353
1011,AL,Bullock,,2008,10.9,3244,3641,397
1011,AL,Bullock,,2009,14.4,3179,3713,534
1011,AL,Bullock,,2010,11.7,4365,4941,576
1011,AL,Bullock,,2011,11.5,4274,4829,555
1011,AL,Bullock,,2012,10.6,4240,4742,502
1011,AL,Bullock,,2013,9.5,4322,4774,452
1011,AL,Bullock,,2014,8.8,4323,4738,415
